Tempo S I V
0 9999 1 0
1 9978 3 19
2 9962 3 35
3 9947 3 50
4 9925 6 69
5 9898 9 93
6 9869 14 117
7 9855 17 128
8 9835 19 146
9 9812 23 165
10 9786 28 186
11 9763 33 204
12 9737 38 225
13 9699 49 252
14 9672 50 278
15 9639 59 302
16 9612 65 323
17 9584 73 343
18 9561 76 363
19 9534 86 380
20 9508 96 396
21 9474 102 424
22 9447 109 444
23 9415 114 471
24 9388 123 489
25 9364 129 507
26 9347 131 522
27 9326 138 536
28 9302 149 549
29 9277 161 562
30 9247 168 585
31 9226 177 597
32 9193 194 613
33 9162 203 635
34 9130 215 655
35 9110 221 669
36 9087 233 680
37 9048 249 703
38 9018 264 718
39 8988 281 731
40 8959 291 750
41 8930 307 763
42 8893 321 786
43 8867 331 802
44 8827 347 826
45 8793 362 845
46 8757 379 864
47 8721 395 884
48 8687 413 900
49 8650 429 921
50 8613 449 938
51 8573 470 957
52 8539 490 971
53 8513 501 986
54 8472 526 1002
55 8439 542 1019
56 8407 561 1032
57 8365 582 1053
58 8326 602 1072
59 8286 620 1094
60 8246 638 1116
61 8219 652 1129
62 8175 670 1155
63 8143 686 1171
64 8109 704 1187
65 8081 720 1199
66 8047 737 1216
67 7999 760 1241
68 7956 790 1254
69 7914 815 1271
70 7878 837 1285
71 7844 854 1302
72 7806 875 1319
73 7765 896 1339
74 7738 913 1349
75 7704 935 1361
76 7660 962 1378
77 7627 982 1391
78 7590 1003 1407
79 7544 1028 1428
80 7512 1050 1438
81 7481 1067 1452
82 7446 1085 1469
83 7408 1112 1480
84 7367 1133 1500
85 7326 1159 1515
86 7290 1182 1528
87 7253 1207 1540
88 7204 1238 1558
89 7158 1272 1570
90 7120 1295 1585
91 7081 1319 1600
92 7039 1347 1614
93 7003 1371 1626
94 6969 1395 1636
95 6925 1427 1648
96 6883 1451 1666
97 6842 1479 1679
98 6790 1503 1707
99 6755 1524 1721
100 6718 1549 1733
101 6679 1574 1747
102 6631 1606 1763
103 6591 1630 1779
104 6560 1648 1792
105 6516 1678 1806
106 6478 1699 1823
107 6433 1728 1839
108 6400 1748 1852
109 6365 1775 1860
110 6322 1808 1870
111 6285 1826 1889
112 6238 1856 1906
113 6196 1885 1919
114 6162 1910 1928
115 6131 1929 1940
116 6098 1953 1949
117 6058 1978 1964
118 6020 1996 1984
119 5990 2010 2000
120 5965 2029 2006
121 5922 2057 2021
122 5881 2085 2034
123 5842 2111 2047
124 5815 2132 2053
125 5774 2155 2071
126 5738 2183 2079
127 5692 2216 2092
128 5658 2244 2098
129 5628 2259 2113
130 5600 2280 2120
131 5561 2308 2131
132 5524 2334 2142
133 5478 2371 2151
134 5449 2394 2157
135 5403 2431 2166
136 5369 2457 2174
137 5337 2478 2185
138 5305 2504 2191
139 5267 2530 2203
140 5234 2553 2213
141 5199 2575 2226
142 5165 2596 2239
143 5129 2623 2248
144 5100 2646 2254
145 5065 2671 2264
146 5030 2689 2281
147 5002 2704 2294
148 4965 2726 2309
149 4929 2748 2323
150 4892 2773 2335
151 4863 2798 2339
152 4841 2812 2347
153 4813 2830 2357
154 4779 2855 2366
155 4757 2874 2369
156 4722 2899 2379
157 4692 2919 2389
158 4659 2941 2400
159 4621 2964 2415
160 4587 2989 2424
161 4553 3013 2434
162 4516 3039 2445
163 4482 3061 2457
164 4449 3086 2465
165 4409 3117 2474
166 4371 3144 2485
167 4342 3163 2495
168 4305 3195 2500
169 4254 3235 2511
170 4227 3253 2520
171 4196 3276 2528
172 4164 3304 2532
173 4133 3326 2541
174 4103 3351 2546
175 4082 3368 2550
176 4048 3393 2559
177 4013 3420 2567
178 3975 3445 2580
179 3938 3471 2591
180 3901 3498 2601
181 3877 3517 2606
182 3841 3543 2616
183 3806 3573 2621
184 3769 3602 2629
185 3731 3637 2632
186 3691 3668 2641
187 3659 3694 2647
188 3619 3724 2657
189 3592 3744 2664
190 3554 3776 2670
191 3519 3804 2677
192 3488 3827 2685
193 3453 3853 2694
194 3421 3877 2702
195 3390 3903 2707
196 3361 3925 2714
197 3337 3944 2719
198 3308 3968 2724
199 3277 3992 2731
200 3244 4020 2736
201 3222 4035 2743
202 3199 4054 2747
203 3173 4075 2752
204 3139 4104 2757
205 3112 4127 2761
206 3099 4139 2762
207 3078 4157 2765
208 3057 4175 2768
209 3031 4196 2773
210 3006 4216 2778
211 2982 4235 2783
212 2949 4263 2788
213 2926 4281 2793
214 2910 4293 2797
215 2893 4300 2807
216 2871 4317 2812
217 2851 4332 2817
218 2832 4349 2819
219 2801 4375 2824
220 2779 4388 2833
221 2749 4412 2839
222 2723 4431 2846
223 2695 4454 2851
224 2670 4471 2859
225 2649 4491 2860
226 2624 4512 2864
227 2588 4541 2871
228 2566 4559 2875
229 2540 4581 2879
230 2518 4594 2888
231 2500 4609 2891
232 2489 4619 2892
233 2468 4630 2902
234 2456 4638 2906
235 2434 4656 2910
236 2405 4679 2916
237 2379 4700 2921
238 2364 4710 2926
239 2341 4732 2927
240 2313 4754 2933
241 2285 4777 2938
242 2262 4791 2947
243 2237 4812 2951
244 2207 4834 2959
245 2180 4855 2965
246 2155 4878 2967
247 2133 4896 2971
248 2108 4917 2975
249 2084 4935 2981
250 2068 4949 2983
251 2050 4966 2984
252 2037 4977 2986
253 2021 4990 2989
254 2002 5004 2994
255 1984 5019 2997
256 1969 5028 3003
257 1954 5039 3007
258 1931 5056 3013
259 1910 5069 3021
260 1893 5080 3027
261 1859 5104 3037
262 1843 5115 3042
263 1834 5122 3044
264 1809 5141 3050
265 1791 5152 3057
266 1773 5165 3062
267 1759 5176 3065
268 1747 5185 3068
269 1732 5199 3069
270 1722 5207 3071
271 1711 5216 3073
272 1699 5224 3077
273 1686 5234 3080
274 1669 5245 3086
275 1661 5251 3088
276 1650 5260 3090
277 1633 5273 3094
278 1623 5281 3096
279 1611 5291 3098
280 1591 5305 3104
281 1577 5315 3108
282 1565 5325 3110
283 1548 5338 3114
284 1541 5344 3115
285 1532 5351 3117
286 1521 5357 3122
287 1515 5363 3122
288 1508 5368 3124
289 1499 5374 3127
290 1490 5381 3129
291 1476 5391 3133
292 1463 5399 3138
293 1448 5410 3142
294 1442 5415 3143
295 1436 5419 3145
296 1425 5427 3148
297 1417 5432 3151
298 1411 5436 3153
299 1403 5443 3154
300 1389 5455 3156
301 1379 5463 3158
302 1370 5469 3161
303 1367 5471 3162
304 1358 5475 3167
305 1346 5481 3173
306 1342 5483 3175
307 1337 5487 3176
308 1331 5491 3178
309 1326 5494 3180
310 1315 5502 3183
311 1307 5508 3185
312 1301 5511 3188
313 1297 5513 3190
314 1290 5517 3193
315 1284 5522 3194
316 1279 5524 3197
317 1273 5527 3200
318 1265 5532 3203
319 1258 5538 3204
320 1254 5540 3206
321 1250 5542 3208
322 1243 5547 3210
323 1238 5551 3211
324 1230 5556 3214
325 1226 5559 3215
326 1217 5566 3217
327 1208 5572 3220
328 1202 5576 3222
329 1196 5581 3223
330 1192 5584 3224
331 1188 5588 3224
332 1183 5591 3226
333 1177 5593 3230
334 1166 5598 3236
335 1158 5602 3240
336 1157 5602 3241
337 1153 5604 3243
338 1147 5607 3246
339 1142 5608 3250
340 1135 5610 3255
341 1132 5612 3256
