rec L=30 L=40 L=50 L=60 L=80 L=100
0.0010 0. 0. 0. 0. 0. 0.
0.0015 0. 0. 0. 0. 0. 0.
0.0020 0. 0. 0. 0. 0. 0.
0.1065 0. 0. 0. 0. 0. 0.
0.1085 0. 0. 0. 0. 0. 0.
0.1105 0. 0. 0. 0. 0. 0.
0.1125 0. 0. 0. 0. 0. 0.
0.1145 0. 0. 0. 0. 0. 0.
0.1165 0. 0. 0. 0. 0. 0.
0.1185 0. 0. 0. 0. 0. 0.
0.1205 0. 0. 0. 0. 0. 0.
0.1225 0. 0. 0. 0. 0. 0.
0.1245 0. 0. 0. 0. 0. 0.
0.1265 0. 0. 0. 0. 0. 0.
0.1285 0. 0. 0. 0. 0. 0.
0.1305 0. 0. 0. 0. 0. 0.
0.1325 0. 0. 0. 0. 0. 0.
0.1345 0. 0. 0. 0. 0. 0.
0.1365 0. 0. 0. 0. 0. 0.
0.1385 0. 0. 0. 0. 0. 0.
0.1405 0. 0. 0. 0. 0. 0.
0.1425 0. 0. 0. 0. 0. 0.
0.1445 0. 0. 0. 0. 0. 0.
0.1465 0. 0. 0. 0. 0. 0.
0.1485 0. 0. 0. 0. 0. 0.
0.1505 0. 0. 0. 0. 0. 0.
0.1525 0. 0. 0. 0. 0. 0.
0.1545 0. 0. 0. 0. 0. 0.
0.1565 0. 0. 0. 0. 0. 0.
0.1585 0. 0. 0. 0. 0. 0.
0.1605 0. 0. 0. 0. 0. 0.
0.1625 0. 0. 0. 0. 0. 0.
0.1645 0. 0. 0. 0. 0. 0.
0.1665 0. 0. 0. 0. 0. 0.
0.1685 0. 0. 0. 0. 0. 0.
0.1705 0. 0. 0. 0. 0. 0.
0.1725 0. 0. 0. 0. 0. 0.
0.1745 0. 0. 0. 0. 0. 0.
0.1765 0. 0. 0. 0. 0. 0.
0.1785 0. 0. 0. 0. 0. 0.
0.1805 0. 0. 0. 0. 0. 0.
0.1825 0. 0. 0. 0. 0. 0.
0.1845 0. 0. 0. 0. 0. 0.
0.1865 0. 0. 0. 0. 0. 0.
0.1885 0. 0. 0. 0. 0. 0.
0.1905 0. 0. 0. 0. 0. 0.
0.1925 0. 0. 0. 0. 0. 0.
0.1945 0. 0. 0. 0. 0. 0.
0.1965 0. 0. 0. 0. 0. 0.
0.1985 0. 0. 0. 0. 0. 0.
0.2005 0. 0. 0. 0. 0. 0.
0.2025 0. 0. 0. 0. 0. 0.
0.2045 0. 0. 0. 0. 0. 0.
0.2065 0. 0. 0. 0. 0. 0.
0.2085 0. 0. 0. 0. 0. 0.
0.2105 0. 0. 0. 0. 0. 0.
0.2125 0. 0. 0. 0. 0. 0.
0.2145 0. 0. 0. 0. 0. 0.
0.2165 0. 0. 0. 0. 0. 0.
0.2185 0. 0. 0. 0. 0. 0.
0.2205 0. 0. 0. 0. 0. 0.
0.2225 0. 0. 0. 0. 0. 0.
0.2245 0. 0. 0. 0. 0. 0.
0.2265 0. 0. 0. 0. 0. 0.
0.2285 0. 0. 0. 0. 0. 0.
0.2305 0. 0. 0. 0. 0. 0.
0.2325 0. 0. 0. 0. 0. 0.
0.2345 0. 0. 0. 0. 0. 0.
0.2365 0. 0. 0. 0. 0. 0.
0.2385 0. 0. 0. 0. 0. 0.
0.2405 0. 0. 0. 0. 0. 0.
