vax L=30 L=40 L=50 L=60 L=80 L=100
0.0020 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.0022 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.0024 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.0026 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.0028 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.0030 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.0032 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.0034 1.0000 1.0000 1.0000 1.0000 1.0000 0.9998
0.0036 1.0000 1.0000 1.0000 1.0000 1.0000 0.9973
0.0038 1.0000 1.0000 1.0000 1.0000 0.9999 0.9805
0.0040 1.0000 1.0000 1.0000 1.0000 0.9998 0.9243
0.0042 1.0000 1.0000 1.0000 1.0000 0.9996 0.8170
0.0044 1.0000 1.0000 1.0000 1.0000 0.9966 0.6358
0.0046 1.0000 1.0000 1.0000 1.0000 0.9857 0.4508
0.0048 1.0000 1.0000 1.0000 1.0000 0.9567 0.2799
0.0050 1.0000 1.0000 1.0000 0.9997 0.8989 0.1517
0.0052 1.0000 1.0000 1.0000 0.9995 0.8166 0.0722
0.0054 1.0000 1.0000 1.0000 0.9978 0.7064 0.0313
0.0056 1.0000 1.0000 1.0000 0.9966 0.5690 0.0059
0.0058 1.0000 1.0000 0.9999 0.9919 0.4469 0.0020
0.0060 1.0000 1.0000 0.9995 0.9779 0.3192 0.0014
0.0062 1.0000 1.0000 0.9985 0.9596 0.2166 0.0000
0.0064 1.0000 1.0000 0.9977 0.9349 0.1464 0.0001
0.0066 1.0000 1.0000 0.9952 0.8939 0.0896 0.0000
0.0068 1.0000 0.9999 0.9905 0.8389 0.0491 0.0000
0.0070 1.0000 0.9997 0.9797 0.7730 0.0304 0.0000
0.0072 1.0000 0.9990 0.9666 0.6904 0.0185 0.0000
0.0074 1.0000 0.9990 0.9480 0.6084 0.0087 0.0000
0.0076 1.0000 0.9978 0.9306 0.5327 0.0051 0.0000
0.0078 1.0000 0.9958 0.8972 0.4425 0.0028 0.0000
0.0080 0.9998 0.9928 0.8527 0.3661 0.0010 0.0000
0.0082 0.9997 0.9909 0.8121 0.2984 0.0006 0.0000
0.0084 0.9996 0.9823 0.7551 0.2324 0.0001 0.0000
0.0086 0.9991 0.9733 0.7006 0.1824 0.0004 0.0000
0.0088 0.9994 0.9624 0.6364 0.1436 0.0001 0.0000
0.0090 0.9984 0.9513 0.5747 0.1018 0.0000 0.0000
0.0092 0.9979 0.9384 0.5090 0.0755 0.0000 0.0000
0.0094 0.9966 0.9111 0.4499 0.0563 0.0000 0.0000
0.0096 0.9961 0.8936 0.3878 0.0441 0.0000 0.0000
0.0098 0.9926 0.8653 0.3345 0.0287 0.0000 0.0000
0.0100 0.9924 0.8267 0.2795 0.0217 0.0000 0.0000
0.0102 0.9874 0.8002 0.2346 0.0144 0.0000 0.0000
0.0104 0.9860 0.7530 0.2012 0.0090 0.0000 0.0000
0.0106 0.9831 0.7255 0.1655 0.0064 0.0000 0.0000
0.0108 0.9775 0.6760 0.1405 0.0054 0.0000 0.0000
0.0110 0.9709 0.6387 0.1107 0.0028 0.0000 0.0000
0.0112 0.9645 0.5900 0.0880 0.0017 0.0000 0.0000
0.0114 0.9514 0.5548 0.0713 0.0012 0.0000 0.0000
0.0116 0.9401 0.5002 0.0624 0.0019 0.0000 0.0000
0.0118 0.9239 0.4551 0.0467 0.0006 0.0000 0.0000
0.0120 0.9169 0.4307 0.0384 0.0010 0.0000 0.0000
0.0122 0.9036 0.3888 0.0292 0.0003 0.0000 0.0000
0.0124 0.8921 0.3416 0.0226 0.0002 0.0000 0.0000
0.0126 0.8717 0.3048 0.0166 0.0002 0.0000 0.0000
0.0128 0.8605 0.2772 0.0103 0.0000 0.0000 0.0000
0.0130 0.8410 0.2376 0.0103 0.0001 0.0000 0.0000
0.0132 0.8117 0.2114 0.0072 0.0003 0.0000 0.0000
0.0134 0.7956 0.1832 0.0073 0.0000 0.0000 0.0000
0.0136 0.7694 0.1606 0.0054 0.0000 0.0000 0.0000
