vax Beta=0.25 Beta=0.5  Beta=0.75 Beta=1.0
30 0.11754 0.23475 0.351417 0.468
35 0.1164625 0.232925 0.35 0.46585
40 0.116 0.228 0.3484 0.464
45 0.115866 0.23175 0.347625 0.4635
50 0.115625 0.2305 0.34575 0.4625
55 0.1150875 0.231 0.3459445 0.46035
60 0.11484 0.2298 0.3453 0.459
65 0.1146795 0.22945 0.344045 0.458705
70 0.114457 0.2289 0.343763 0.4578
75 0.114225 0.22875 0.342975 0.456495
80 0.114168 0.22832 0.34216 0.456
85 0.1140275 0.228055 0.341615 0.45509
90 0.11376 0.2277 0.341235 0.4545
95 0.113715 0.22705 0.340955 0.454252
100 0.1136 0.2269 0.3410 0.4530
