vax Beta=0.25 Beta=0.5  Beta=0.75 Beta=1.0
30 0.003918 0.007825 0.0117139 0.01560
35 0.0033275 0.006655 0.010000 0.01331
40 0.002900 0.0057 0.0087100 0.01160
45 0.0025748 0.00515 0.007725 0.01030
50 0.0023125 0.00461 0.0069150 0.00925
55 0.0020925 0.0042 0.0062899 0.00837
60 0.0019140 0.00383 0.0057550 0.00765
65 0.0017643 0.00353 0.0052930 0.007057
70 0.0016351 0.00327 0.0049109 0.00654
75 0.0015230 0.00305 0.0045730 0.0060866
80 0.0014271 0.002854 0.0042770 0.00570
85 0.0013415 0.002683 0.0040190 0.005354
90 0.0012640 0.00253 0.0037915 0.00505
95 0.0011970 0.00239 0.0035890 0.0047816
100 0.0011360 0.002269 0.003410 0.004530
