rec L=100 L=250 L=400 L=600 L=800 L=1000
0.5855 0.3357 0.2011 0.1099 0.0484 0.0225 0.0096
0.5867 0.3572 0.2425 0.1598 0.0859 0.0431 0.0238
0.5879 0.3892 0.2887 0.2008 0.1333 0.0847 0.0537
0.5891 0.4227 0.3326 0.2633 0.2068 0.1523 0.1095
0.5902 0.4428 0.3824 0.3404 0.2849 0.2457 0.2021
0.5914 0.4767 0.4426 0.4147 0.3805 0.3570 0.3474
0.5926 0.5032 0.4939 0.5047 0.4970 0.4934 0.5035
0.5938 0.5419 0.5596 0.5863 0.6029 0.6387 0.6451
0.5950 0.5622 0.6002 0.6607 0.7034 0.7483 0.7882
0.5962 0.5897 0.6670 0.7385 0.7975 0.8419 0.8872
0.5974 0.6057 0.7087 0.7887 0.8645 0.9075 0.9401
0.5986 0.6419 0.7605 0.8491 0.9093 0.9503 0.9752
0.5998 0.6785 0.8066 0.8874 0.9470 0.9765 0.9904
0.6010 0.6962 0.8469 0.9236 0.9708 0.9889 0.9969
