OccupProb L=100 L=250 L=400 L=600 L=800 L=1000
0.5854 0.3348 0.1845 0.1055 0.0481 0.0225 0.0085
0.5866 0.3527 0.2344 0.1530 0.0750 0.0403 0.0222
0.5878 0.3785 0.2755 0.1975 0.1254 0.0842 0.0501
0.5890 0.4151 0.3254 0.2663 0.1973 0.1383 0.1034
0.5901 0.4465 0.3856 0.3302 0.2866 0.2320 0.1932
0.5913 0.4670 0.4261 0.4147 0.3794 0.3527 0.3359
0.5925 0.5034 0.4984 0.4934 0.4936 0.4783 0.4895
0.5937 0.5308 0.5506 0.5777 0.5923 0.6228 0.6329
0.5949 0.5608 0.6070 0.6426 0.7014 0.7435 0.7795
0.5961 0.5800 0.6686 0.7254 0.7893 0.8381 0.8792
0.5973 0.6116 0.7108 0.7882 0.8626 0.9042 0.9368
0.5985 0.6376 0.7598 0.8393 0.9138 0.9491 0.9732
0.5997 0.6657 0.8004 0.8825 0.9472 0.9765 0.9896
